Date;ADS GY Equity;AI FP Equity;AIR FP Equity;ALV GY Equity;ABI BB Equity;ASML NA Equity;CS FP Equity;BBVA SM Equity;SAN SM  Equity;BAS GY Equity;BAYN GY Equity;BMW GY Equity;BNP FP Equity;CRH ID Equity;BN FP Equity;DB1 GY Equity;DHL GR EQUITY;DTE GY Equity;ENEL IM Equity;ENI IM Equity;EL FP Equity;RMS FP Equity;IBE SM Equity;ITX SM Equity;IFX GY Equity;INGA NA Equity;ISP IM Equity;KER FP Equity;AD NA Equity;OR FP Equity;MC FP Equity;MBG GY Equity;MUV2 GY Equity;NOKIA FH Equity;NDA FH Equity;RI FP Equity;SAF FP Equity;SAN FP Equity;SAP GY Equity;SU FP Equity;SIE GY Equity;TTE FP Equity;DG FP Equity;VOW3 GY Equity
06/07/2020;247,9;119,64;67,72;186,76;46,51;343,55;19,22;3,31;2,24;50,81;67,06;58,46;37,39;32,14;61,56;167,15;33,89;15,04;7,91;8,76;118,8;770,6;10,82;23,85;21,52;6,7;1,79;499,95;23,9;290,3;404;31,74;235,4;4,16;6,41;143,65;92,84;91,99;130,72;98,28;97,7;35,09;84,52;138,84
07/07/2020;241;120,05;67,3;184,52;46,6;342,2;18,48;3,23;2,17;51;63,75;58,65;37,24;32,33;61,26;168;34,05;14,95;7,98;8,82;118,75;766,6;10,84;23,35;21,25;6,56;1,79;498,8;24,17;288,3;402,65;31,59;232,9;4;6,4;141,75;91,4;91,16;128,78;98,44;97,86;34,69;83,5;138,02
08/07/2020;236,5;120,18;65,83;182,98;46,21;343,9;18,23;3,12;2,12;50,01;63,29;58,02;36,35;31,65;60,7;166,55;34,22;14,87;8,09;8,7;117,55;767,6;10,72;23,18;21,15;6,24;1,76;491,9;24,28;285,4;399,8;31,22;231,8;3,68;6,35;141;90,04;90,07;128,78;97,76;95,76;34,28;81,2;135,42
09/07/2020;235,7;120,18;63,22;180,56;45,27;344,35;17,92;3,08;2,08;49,62;63,34;57,44;35,51;31,39;59,76;165,3;34,24;14,75;7,94;8,43;117,2;766,4;10,6;23,13;21,66;6,07;1,73;498,4;24,11;286,7;400,95;30,35;226,7;3,63;6,23;140,5;88,28;88,7;134,68;95,9;95,69;33,16;79,58;135,6
10/07/2020;235,6;122,73;65,45;182,68;47,18;348,7;18,28;3,15;2,13;50,08;63,7;58,69;36,68;32,32;60,64;166,1;34,17;14,91;8,03;8,49;116,95;770;10,73;23,35;22,55;6,35;1,77;499,75;24,48;288,6;400,7;30,79;230,5;3,65;6,33;141,3;88,92;88,44;135,04;96,86;97,75;33,32;80,5;139,98
13/07/2020;242;125,45;67,85;185,14;47,05;353,5;18,47;3,21;2,15;51,05;64,5;58,8;37,74;32,22;61,44;168,1;34,07;15,11;8,12;8,66;120,8;775;10,8;22,77;23,21;6,43;1,78;511,9;24,62;287,8;408,35;31,3;231,6;3,76;6,51;142;92,5;90,49;137,52;98,4;98,84;33,71;82;139,3
14/07/2020;234,8;123,59;66,16;186,68;46,29;343,3;18,59;3,17;2,13;51,11;64;57,93;37,51;32,47;59,98;163,3;34,39;15,16;8,01;8,78;118,55;753,4;10,82;23,24;22,01;6,45;1,78;506,5;24,93;285,8;404,65;31,06;234,8;3,76;6,6;140,7;89,74;90,99;133,94;96,86;99,4;34,05;80,96;137,38
15/07/2020;242,4;125;69,22;187,26;47,48;330,7;18,61;3,25;2,17;51,82;64,02;58,61;38,53;33,3;60,54;164,05;34,71;15,2;8,17;8,84;120,45;763,4;11;23;22,44;6,64;1,81;523,7;25,1;291,1;412,05;31,64;237,6;3,79;6,61;141,4;95,72;93,16;137,34;100,7;101,38;34,33;83,86;141,16
16/07/2020;238,5;126,14;67;187,36;47,36;331,7;18,71;3,26;2,17;51,99;63,02;58,77;38,56;33,4;60,24;163;34,96;15,29;8,25;8,9;118,4;747;11,04;22,99;21,83;6,67;1,84;517;25,19;287,1;408,15;31,62;237,4;3,71;6,65;140,3;94,02;92,42;135,46;100,65;101,61;34,43;83,52;141,34
17/07/2020;237,8;126,18;65,9;185,52;46,98;333,1;18,37;3,22;2,12;52,05;63;59,73;37,98;33,4;60,1;162,5;35,18;15,28;8,43;8,81;118,05;750,8;11,09;22,99;22,4;6,55;1,83;515,4;25,22;290,3;410,25;33,02;236;3,83;6,73;139,15;93,12;92,71;135,9;100,95;101,5;33,83;82,46;144,44
