Date;EUR006M Index
23/11/2022;2,36
24/11/2022;2,368
25/11/2022;2,374
28/11/2022;2,436
29/11/2022;2,442
30/11/2022;2,414
01/12/2022;2,405
02/12/2022;2,406
05/12/2022;2,436
06/12/2022;2,443
07/12/2022;2,442
08/12/2022;2,456
09/12/2022;2,466
12/12/2022;2,527
13/12/2022;2,479
14/12/2022;2,519
15/12/2022;2,493
16/12/2022;2,569
19/12/2022;2,585
20/12/2022;2,625
21/12/2022;2,645
22/12/2022;2,696
23/12/2022;2,701
27/12/2022;2,703
28/12/2022;2,752
29/12/2022;2,726
30/12/2022;2,693
02/01/2023;2,732
03/01/2023;2,739
04/01/2023;2,761
05/01/2023;2,772
06/01/2023;2,805
09/01/2023;2,809
10/01/2023;2,82
11/01/2023;2,858
12/01/2023;2,818
13/01/2023;2,876
16/01/2023;2,843
17/01/2023;2,878
18/01/2023;2,832
19/01/2023;2,857
20/01/2023;2,895
23/01/2023;2,917
24/01/2023;2,922
25/01/2023;2,928
26/01/2023;2,922
27/01/2023;2,942
30/01/2023;2,959
31/01/2023;2,988
01/02/2023;3,009
02/02/2023;3,029
03/02/2023;3,011
06/02/2023;3,008
07/02/2023;3,029
08/02/2023;3,054
09/02/2023;3,103
10/02/2023;3,08
13/02/2023;3,102
14/02/2023;3,135
15/02/2023;3,166
16/02/2023;3,192
17/02/2023;3,212
20/02/2023;3,192
21/02/2023;3,225
22/02/2023;3,197
23/02/2023;3,198
24/02/2023;3,233
27/02/2023;3,242
28/02/2023;3,29
01/03/2023;3,311
02/03/2023;3,366
03/03/2023;3,353
06/03/2023;3,363
07/03/2023;3,418
08/03/2023;3,451
09/03/2023;3,461
10/03/2023;3,445
13/03/2023;3,375
14/03/2023;3,035
15/03/2023;3,131
16/03/2023;2,985
17/03/2023;3,055
20/03/2023;3,095
21/03/2023;3,071
22/03/2023;3,214
23/03/2023;3,29
24/03/2023;3,281
27/03/2023;3,239
28/03/2023;3,269
29/03/2023;3,29
30/03/2023;3,312
31/03/2023;3,341
03/04/2023;3,335
04/04/2023;3,359
05/04/2023;3,339
06/04/2023;3,339
11/04/2023;3,356
12/04/2023;3,43
13/04/2023;3,49
14/04/2023;3,51
17/04/2023;3,578
18/04/2023;3,562
19/04/2023;3,587
20/04/2023;3,612
21/04/2023;3,601
24/04/2023;3,637
25/04/2023;3,635
26/04/2023;3,648
27/04/2023;3,618
28/04/2023;3,645
02/05/2023;3,622
03/05/2023;3,644
04/05/2023;3,651
05/05/2023;3,575
08/05/2023;3,605
09/05/2023;3,608
10/05/2023;3,625
11/05/2023;3,629
12/05/2023;3,638
15/05/2023;3,663
16/05/2023;3,658
17/05/2023;3,671
18/05/2023;3,687
19/05/2023;3,707
22/05/2023;3,714
23/05/2023;3,732
24/05/2023;3,744
25/05/2023;3,769
26/05/2023;3,76
29/05/2023;3,781
30/05/2023;3,77
31/05/2023;3,746
01/06/2023;3,721
02/06/2023;3,728
05/06/2023;3,739
06/06/2023;3,715
07/06/2023;3,733
08/06/2023;3,757
09/06/2023;3,762
12/06/2023;3,753
13/06/2023;3,794
14/06/2023;3,79
15/06/2023;3,818
16/06/2023;3,822
19/06/2023;3,861
20/06/2023;3,892
21/06/2023;3,886
22/06/2023;3,907
23/06/2023;3,933
26/06/2023;3,908
27/06/2023;3,915
28/06/2023;3,93
29/06/2023;3,892
30/06/2023;3,9
03/07/2023;3,913
04/07/2023;3,888
05/07/2023;3,895
06/07/2023;3,905
07/07/2023;3,945
10/07/2023;3,931
11/07/2023;3,94
12/07/2023;3,955
13/07/2023;3,945
14/07/2023;3,941
17/07/2023;3,962
18/07/2023;3,962
19/07/2023;3,937
20/07/2023;3,952
21/07/2023;3,972
24/07/2023;3,972
25/07/2023;3,966
26/07/2023;3,952
27/07/2023;3,972
28/07/2023;3,958
31/07/2023;3,929
01/08/2023;3,948
02/08/2023;3,944
03/08/2023;3,937
04/08/2023;3,94
07/08/2023;3,949
08/08/2023;3,921
09/08/2023;3,927
10/08/2023;3,937
11/08/2023;3,928
14/08/2023;3,957
